rainfall_24h,rainfall_intensity,soil_moisture,slope,elevation,historical_events,temperature,humidity,pore_water_pressure,risk_probability,risk_percentage,risk_category,landslide_occurred
44.59,12.47,38.73,36.37,1937.4,11,19.8,68.6,5.31,0.0595,5.95,LOW,0
101.21,15.4,52.01,59.15,2626.0,6,12.7,75.0,11.19,0.5292,52.92,HIGH,1
3.52,0.72,19.44,47.36,2492.5,9,15.6,61.5,1.76,0.0387,3.87,LOW,0
89.54,15.71,57.09,42.74,704.0,7,24.1,70.0,11.95,0.3575,35.75,MODERATE,0
29.41,6.0,37.82,28.79,690.3,9,19.7,65.2,3.95,0.058,5.8,LOW,0
15.82,2.49,29.44,28.79,1041.1,5,22.3,53.7,3.89,0.023,2.3,LOW,0
49.45,6.31,32.42,23.41,1315.2,8,22.3,63.1,2.99,0.0721,7.21,LOW,0
10.41,2.2,36.21,53.41,1454.9,9,17.6,66.3,4.2,0.047,4.7,LOW,0
41.39,7.19,34.77,42.82,2255.1,2,21.4,69.4,5.49,0.0659,6.59,LOW,0
1.42,0.21,22.04,46.46,417.2,8,27.7,59.4,2.0,0.0553,5.53,LOW,0
64.01,11.0,42.68,20.01,352.3,4,28.1,72.1,6.84,0.1232,12.32,LOW,0
20.81,2.66,32.7,61.08,1406.1,16,22.6,72.2,3.87,0.1638,16.38,LOW,0
35.44,9.64,34.08,51.68,2306.6,6,9.5,63.0,3.15,0.1325,13.25,LOW,0
8.75,1.86,10.51,31.09,820.6,13,25.2,52.7,2.2,0.0522,5.22,LOW,0
39.56,9.9,37.33,29.89,2142.4,7,21.9,69.7,4.81,0.1309,13.09,LOW,0
51.78,9.72,44.11,29.95,1016.5,6,24.3,71.0,4.07,0.0822,8.22,LOW,0
82.47,21.82,43.64,34.26,2864.0,6,11.6,76.9,8.83,0.3129,31.29,MODERATE,0
33.66,6.64,42.23,40.51,2892.3,2,9.3,57.9,3.21,0.0712,7.12,LOW,0
21.33,4.52,35.35,37.95,1127.0,9,18.8,54.2,4.44,0.03,3.0,LOW,0
195.25,38.79,82.01,33.84,928.5,5,19.6,90.9,32.16,0.9609,96.09,CRITICAL,1
24.11,5.72,26.68,43.16,1463.3,4,19.0,64.8,4.67,0.0327,3.27,LOW,0
64.54,13.6,44.47,28.04,959.6,6,20.1,67.5,6.84,0.1597,15.97,LOW,0
56.57,9.25,42.61,33.87,2233.5,9,15.3,77.2,6.0,0.1173,11.73,LOW,0
18.5,2.65,29.77,36.13,2686.9,4,13.7,62.7,1.01,0.0189,1.89,LOW,0
9.15,1.99,32.02,38.59,2235.6,5,11.4,68.8,3.21,0.0517,5.17,LOW,0
81.75,16.21,46.09,49.52,2681.8,7,11.3,77.5,7.27,0.374,37.4,MODERATE,0
61.25,8.29,40.79,30.6,1421.1,6,18.7,62.6,5.05,0.0704,7.04,LOW,0
9.04,1.66,24.2,40.21,711.1,6,22.6,56.0,2.09,0.0283,2.83,LOW,0
26.01,5.26,30.03,42.54,2427.0,17,14.7,56.2,2.3,0.0977,9.77,LOW,0
57.41,14.49,40.33,22.52,1313.4,6,21.1,71.2,5.21,0.0317,3.17,LOW,0
15.27,2.02,28.34,43.02,2230.2,13,14.7,62.9,2.83,0.0854,8.54,LOW,0
35.97,6.32,33.92,29.42,1048.4,6,20.6,73.5,5.08,0.0894,8.94,LOW,0
9.87,2.48,32.38,23.9,489.6,8,25.3,65.1,3.11,0.0216,2.16,LOW,0
4.05,0.91,33.65,58.98,3178.1,10,14.1,52.8,2.43,0.1551,15.51,LOW,0
55.36,9.21,34.09,60.61,710.8,6,20.5,65.5,6.54,0.2257,22.57,LOW,0
3.65,0.93,33.42,50.55,3165.8,12,13.4,47.9,2.35,0.0668,6.68,LOW,0
11.08,2.2,31.48,34.27,3133.0,9,6.7,63.4,2.1,0.0492,4.92,LOW,0
67.61,13.5,39.47,25.91,2591.8,8,14.6,86.9,6.03,0.1753,17.53,LOW,0
14.89,4.11,27.52,45.59,2195.3,1,18.5,63.0,3.29,0.0379,3.79,LOW,0
126.48,34.34,61.83,38.16,1954.5,6,13.9,80.2,14.98,0.598,59.8,HIGH,1
136.46,24.2,54.93,27.2,2805.0,2,13.4,80.4,15.84,0.38,38.0,MODERATE,0
10.93,1.56,27.63,39.67,1103.8,12,19.3,63.8,2.12,0.0493,4.93,LOW,0
1.46,0.25,28.04,21.47,1629.7,10,22.0,59.3,1.24,0.0307,3.07,LOW,0
42.73,5.34,33.24,55.99,2077.2,8,12.6,70.1,3.7,0.1157,11.57,LOW,0
20.99,2.59,23.48,32.76,1463.0,10,17.7,58.5,3.85,0.0338,3.38,LOW,0
180.66,33.11,76.58,44.84,1511.1,5,20.0,82.7,26.04,0.9593,95.93,CRITICAL,1
43.03,11.64,48.09,34.49,1224.3,9,23.0,58.7,5.45,0.1081,10.81,LOW,0
1.11,0.29,21.74,40.38,1914.5,10,17.7,60.0,1.57,0.0322,3.22,LOW,0
71.46,14.42,41.57,41.15,2759.2,8,14.1,64.1,8.41,0.2867,28.67,MODERATE,0
5.22,1.1,25.46,30.01,844.5,16,22.0,69.5,3.78,0.1042,10.42,LOW,0
4.77,0.58,34.18,61.05,3006.6,6,8.7,58.1,3.2,0.105,10.5,LOW,0
6.76,1.04,18.63,49.09,2282.8,9,19.1,49.2,1.85,0.0298,2.98,LOW,0
112.89,13.99,60.46,58.19,2678.7,8,14.5,70.1,14.63,0.6772,67.72,HIGH,1
41.35,9.95,34.22,55.07,1890.8,11,16.4,67.0,3.64,0.168,16.8,LOW,0
56.57,8.11,38.92,42.71,2549.6,7,9.8,72.4,6.17,0.0668,6.68,LOW,0
17.74,4.6,24.92,56.85,297.8,11,29.4,64.8,1.04,0.1289,12.89,LOW,0
14.35,3.2,27.77,25.39,2664.2,15,16.5,57.2,2.95,0.0446,4.46,LOW,0
9.35,1.47,22.71,30.46,368.4,11,25.4,58.0,2.33,0.0508,5.08,LOW,0
109.58,15.91,52.97,22.43,2875.2,5,10.5,72.3,12.89,0.2316,23.16,LOW,0
28.09,6.19,20.54,34.91,3176.3,8,9.9,67.6,3.03,0.0515,5.15,LOW,0
34.97,9.24,26.12,36.77,1117.5,9,21.3,65.9,4.48,0.0719,7.19,LOW,0
10.4,2.44,29.6,33.19,870.4,6,25.1,58.9,1.79,0.0315,3.15,LOW,0
103.92,18.27,60.41,51.5,2507.8,8,11.4,71.6,14.06,0.5854,58.54,HIGH,1
